파일명,구분,제목,songId,URL
짧-학교종.png,짧은 곡,학교종,HAKGYOJONG,https://gtlgy-star.github.io/perfect-recorder/index.html?go=practice&songId=HAKGYOJONG
짧-똑같아요.png,짧은 곡,똑같아요,SAME_SAME,https://gtlgy-star.github.io/perfect-recorder/index.html?go=practice&songId=SAME_SAME
짧-환희의 송가.png,짧은 곡,환희의 송가,ODE,https://gtlgy-star.github.io/perfect-recorder/index.html?go=practice&songId=ODE
짧-핫 크로스 번.png,짧은 곡,핫 크로스 번,HOT_CROSS_BUNS,https://gtlgy-star.github.io/perfect-recorder/index.html?go=practice&songId=HOT_CROSS_BUNS
짧-나비야.png,짧은 곡,나비야,NABIYA,https://gtlgy-star.github.io/perfect-recorder/index.html?go=practice&songId=NABIYA
짧-통통통통.png,짧은 곡,통통통통,TONGTONG,https://gtlgy-star.github.io/perfect-recorder/index.html?go=practice&songId=TONGTONG
짧-잠자리.png,짧은 곡,잠자리,DRAGONFLY,https://gtlgy-star.github.io/perfect-recorder/index.html?go=practice&songId=DRAGONFLY
짧-고향의 봄.png,짧은 곡,고향의 봄,HOMETOWN_SPRING,https://gtlgy-star.github.io/perfect-recorder/index.html?go=practice&songId=HOMETOWN_SPRING
교-3-뻐꾸기.png,교과서 3학년,뻐꾸기,TB3_CUCKOO,https://gtlgy-star.github.io/perfect-recorder/index.html?go=practice&songId=TB3_CUCKOO
교-3-아침.png,교과서 3학년,아침,TB3_MORNING,https://gtlgy-star.github.io/perfect-recorder/index.html?go=practice&songId=TB3_MORNING
교-3-구슬비.png,교과서 3학년,구슬비,TB3_RAIN,https://gtlgy-star.github.io/perfect-recorder/index.html?go=practice&songId=TB3_RAIN
교-3-비행기.png,교과서 3학년,비행기,TB3_PLANE,https://gtlgy-star.github.io/perfect-recorder/index.html?go=practice&songId=TB3_PLANE
교-3-가을길.png,교과서 3학년,가을길,TB3_AUTUMN,https://gtlgy-star.github.io/perfect-recorder/index.html?go=practice&songId=TB3_AUTUMN
교-3-거미가 줄을 타고.png,교과서 3학년,거미가 줄을 타고,TB3_SPIDER,https://gtlgy-star.github.io/perfect-recorder/index.html?go=practice&songId=TB3_SPIDER
교-3-꼬마벌.png,교과서 3학년,꼬마벌,TB3_LITTLE_BEE,https://gtlgy-star.github.io/perfect-recorder/index.html?go=practice&songId=TB3_LITTLE_BEE
교-3-작은 별.png,교과서 3학년,작은 별,TB3_TWINKLE,https://gtlgy-star.github.io/perfect-recorder/index.html?go=practice&songId=TB3_TWINKLE
교-4-생일 축하합니다.png,교과서 4학년,생일 축하합니다,HAPPY_BIRTHDAY,https://gtlgy-star.github.io/perfect-recorder/index.html?go=practice&songId=HAPPY_BIRTHDAY
교-4-음악은 영원히.png,교과서 4학년,음악은 영원히,TB4_MUSIC_FOREVER,https://gtlgy-star.github.io/perfect-recorder/index.html?go=practice&songId=TB4_MUSIC_FOREVER
교-4-언제나 몇 번이라도.png,교과서 4학년,언제나 몇 번이라도,TB4_ALWAYS_WITH_ME,https://gtlgy-star.github.io/perfect-recorder/index.html?go=practice&songId=TB4_ALWAYS_WITH_ME
